1976.4955082089261, 8.050550842115923e+44
2198.029995475435, 8.421310186920357e+44
2442.7707206094174, 8.028995347621395e+44
2712.7478270637753, 6.901949253217556e+44
3010.4277223650624, 5.3743377620302915e+44
3340.9582049082214, 4.21729709021232e+44
3708.477742138041, 3.397457120274962e+44
4116.790845340709, 2.771044129584642e+44
4570.515996077339, 2.291784505053011e+44
5074.528792853754, 1.910117833298832e+44
5634.18392711048, 1.5944751257013037e+44
6256.0469655809275, 1.345469319298931e+44
6946.6239927728075, 1.1371062805381114e+44
7713.858023379391, 9.684659615668524e+43
8565.735878636488, 8.235622957074396e+43
9512.006782079814, 7.035940790364621e+43
10563.164866448551, 6.038951237821228e+43
11730.354946464868, 5.175230062202967e+43
13026.659471575329, 4.441902358381078e+43
14466.377002668374, 3.8183836629542956e+43
16066.103299115863, 3.307852703987026e+43
17842.138098448064, 2.852325834981941e+43
19814.285960881585, 2.455731606577013e+43
22005.152924450547, 2.1241065121782255e+43
24437.993449982692, 1.8344271617279015e+43
27140.404754978998, 1.589157974370219e+43
30141.655114675883, 1.376682116462846e+43
33474.79086086201, 1.192615007667615e+43
37176.5126671114, 1.0331583010379247e+43
41288.03708065018, 8.964058404885002e+42
45853.258184715756, 7.753540648484163e+42
50925.51285810988, 6.748081103316229e+42
56558.23011104351, 5.863937198054446e+42
62811.18162376083, 5.0642308232210386e+42
69760.85541582771, 4.4211590141809326e+42
77476.03469366423, 3.835958882640411e+42
86066.40004605347, 3.4486534323176093e+42
95653.74434637654, 3.308384136524927e+42
106309.06837727685, 3.173820103881513e+42
118178.83154117712, 3.145169587658606e+42
131354.97351394556, 3.0547812383946146e+42
146022.813555067, 3.03188751189312e+42
162303.37156679714, 2.944754751729846e+42
180421.0882214127, 2.9091658078990934e+42
200543.4869898784, 2.838691176587394e+42
222932.36840011453, 2.8087216374905956e+42
247793.31313833984, 2.7364477776295264e+42
275445.00694827695, 2.6908710204556676e+42
306175.61785576254, 2.637886960530748e+42
340346.0669054846, 2.5979638693431203e+42
378313.311937608, 2.5428760868098746e+42
420525.3041094347, 2.496661740244238e+42
467447.28725141427, 2.451287295331484e+42
519587.529817406, 2.3956043686044335e+42
577582.0185643963, 2.3629973302362922e+42
642006.9652290371, 2.309319979790118e+42
713665.4704544223, 2.2778873750694986e+42
793251.9295670035, 2.2192729112053764e+42
881811.3918865783, 2.1958428928830615e+42
966061.306671636, 2.1290099472619656e+42
