2.09e+1, 1.05e+46
2.38e+1, 8.87e+45
2.72e+1, 7.45e+45
3.09e+1, 6.28e+45
3.52e+1, 5.28e+45
4.01e+1, 4.43e+45
4.57e+1, 3.73e+45
5.20e+1, 3.13e+45
5.93e+1, 2.64e+45
6.75e+1, 2.22e+45
7.69e+1, 1.87e+45
8.76e+1, 1.58e+45
9.97e+1, 1.33e+45
1.14e+2, 1.11e+45
1.29e+2, 9.35e+44
1.47e+2, 7.87e+44
1.68e+2, 6.61e+44
1.91e+2, 5.57e+44
2.18e+2, 4.70e+44
2.48e+2, 3.96e+44
2.82e+2, 3.33e+44
3.22e+2, 2.80e+44
3.66e+2, 2.35e+44
4.17e+2, 1.97e+44
4.75e+2, 1.67e+44
5.41e+2, 1.40e+44
6.16e+2, 1.18e+44
7.02e+2, 9.93e+43
7.99e+2, 8.40e+43
9.10e+2, 7.41e+43
1.04e+3, 6.63e+43
1.18e+3, 6.05e+43
1.34e+3, 5.77e+43
1.53e+3, 5.53e+43
1.74e+3, 5.27e+43
1.98e+3, 5.05e+43
2.26e+3, 4.80e+43
2.57e+3, 4.61e+43
2.93e+3, 4.39e+43
3.33e+3, 4.22e+43
3.80e+3, 4.01e+43
4.32e+3, 3.84e+43
4.92e+3, 3.67e+43
5.61e+3, 3.51e+43
6.38e+3, 3.37e+43
7.27e+3, 3.21e+43
8.27e+3, 3.08e+43
9.42e+3, 2.93e+43
1.07e+4, 2.80e+43
1.22e+4, 2.67e+43
1.39e+4, 2.55e+43
1.58e+4, 2.43e+43
1.80e+4, 2.32e+43
2.05e+4, 2.23e+43
2.34e+4, 2.11e+43
2.66e+4, 2.04e+43
3.03e+4, 1.95e+43
3.45e+4, 1.86e+43
3.73e+4, 1.81e+43
